epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03783,2.34405,4.37698,1.17599,0.00476,1,0.04373,0.01914,1.54273,3.19041,0.88348,0.000658228,0.000658228,0.000658228
2,12.4802,1.62358,2.34091,0.93525,0.7942,0.77196,0.80904,0.43332,1.40292,1.6845,0.89301,0.00128117,0.00128117,0.00128117
3,17.477,1.57993,2.03709,0.94226,0.93945,0.9,0.92324,0.44222,1.5686,1.63125,0.94153,0.00186012,0.00186012,0.00186012
4,22.4695,1.79636,2.12924,0.98663,0.8219,0.76923,0.87149,0.38831,1.38217,1.53109,0.93652,0.001802,0.001802,0.001802
5,27.3974,1.59151,1.80631,0.99163,0.77649,0.73333,0.84734,0.39167,1.52873,1.76679,0.93082,0.001736,0.001736,0.001736
6,32.312,1.63394,1.90914,0.92891,0.86437,0.85003,0.93308,0.43716,1.56673,1.4358,0.92629,0.00167,0.00167,0.00167
7,37.3933,1.48474,1.77546,0.9399,1,0.83021,0.96382,0.50293,1.38748,1.4862,0.90542,0.001604,0.001604,0.001604
8,42.2156,1.46677,1.70143,0.91832,0.9708,0.9,0.98306,0.46829,1.33741,1.22448,0.91687,0.001538,0.001538,0.001538
9,47.3963,1.44708,1.53794,0.93807,1,0.9395,0.99,0.51097,1.40165,1.11316,0.91305,0.001472,0.001472,0.001472
10,52.4651,1.50702,1.46315,0.9297,0.93031,0.96667,0.98476,0.49944,1.31544,1.09532,0.90234,0.001406,0.001406,0.001406
11,57.3463,1.39833,1.47672,0.94189,0.93293,0.92744,0.92582,0.45085,1.40884,1.23704,0.92522,0.00134,0.00134,0.00134
12,63.4193,1.31871,1.30127,0.94269,0.88436,0.9,0.92885,0.48318,1.42914,1.21588,0.91524,0.001274,0.001274,0.001274
13,67.0287,1.34827,1.33948,0.91132,0.93035,0.89072,0.93512,0.49628,1.34764,1.1167,0.89143,0.001208,0.001208,0.001208
14,70.6737,1.20499,1.38658,0.91017,0.92974,0.88248,0.9418,0.46242,1.3594,1.27911,0.89821,0.001142,0.001142,0.001142
15,74.2559,1.32105,1.33397,0.91314,0.92911,0.87397,0.94448,0.51056,1.35426,1.13401,0.89797,0.001076,0.001076,0.001076
16,77.6391,1.21805,1.20712,0.8824,1,0.89037,0.97107,0.54781,1.32452,1.02665,0.89087,0.00101,0.00101,0.00101
17,81.0954,1.20769,1.1908,0.88936,0.93554,0.93333,0.96237,0.58807,1.13328,0.9005,0.86487,0.000944,0.000944,0.000944
18,84.5728,1.27928,1.23735,0.88882,0.9437,0.96667,0.96385,0.58186,1.13495,0.96566,0.8645,0.000878,0.000878,0.000878
19,88.0123,1.13998,1.11993,0.88867,0.94565,0.96667,0.95008,0.59721,1.17493,0.9898,0.86518,0.000812,0.000812,0.000812
20,91.3846,1.10166,1.10478,0.86326,0.89903,0.93333,0.89368,0.55969,1.20561,0.98148,0.87544,0.000746,0.000746,0.000746
21,94.8189,1.05291,1.03394,0.86043,0.92693,0.96667,0.94484,0.56128,1.10613,0.91375,0.86644,0.00068,0.00068,0.00068
22,98.2633,1.17605,1.08791,0.89337,0.9482,1,0.99081,0.5873,1.0914,0.91262,0.85971,0.000614,0.000614,0.000614
23,101.718,1.06483,1.06568,0.8579,0.94212,0.96667,0.98979,0.59265,1.08709,0.90917,0.85625,0.000548,0.000548,0.000548
24,105.264,1.11767,1.05329,0.87372,0.93573,0.97074,0.98979,0.58683,1.10803,0.89322,0.86521,0.000482,0.000482,0.000482
25,108.723,1.05839,0.99778,0.88292,0.9676,0.99564,0.99177,0.58961,1.09902,0.88536,0.86084,0.000416,0.000416,0.000416
26,112.223,1.0348,0.97082,0.87147,0.95326,0.96667,0.99212,0.6071,1.04962,0.8673,0.84697,0.00035,0.00035,0.00035
27,115.758,1.02877,0.95969,0.87031,0.96056,0.96667,0.98994,0.60531,1.06555,0.86988,0.84674,0.000284,0.000284,0.000284
28,119.464,1.02084,0.9951,0.85239,0.96188,0.96667,0.99312,0.61512,1.05629,0.84025,0.84475,0.000218,0.000218,0.000218
29,122.885,1.02337,0.92459,0.86107,0.96116,0.96667,0.99212,0.62059,1.04864,0.82927,0.84457,0.000152,0.000152,0.000152
30,126.303,1.02866,1.0671,0.87035,0.95328,0.96667,0.98979,0.59466,1.07164,0.86674,0.85091,8.6e-05,8.6e-05,8.6e-05
